iter	Passed	Remaining
891	36122	4373
892	36152	4331
893	36185	4290
894	36211	4248
895	36243	4206
896	36274	4165
897	36300	4123
898	36331	4081
899	36380	4042
900	36417	4001
901	36463	3961
902	36501	3921
903	36532	3879
904	36563	3838
905	36610	3798
906	36658	3758
907	36690	3717
908	36736	3677
909	36783	3637
910	36814	3596
911	36845	3555
912	36884	3514
913	36912	3473
914	36944	3431
915	36976	3390
916	37007	3349
917	37038	3308
918	37068	3267
919	37099	3226
920	37133	3185
921	37164	3144
922	37201	3103
923	37249	3063
924	37279	3022
925	37326	2982
926	37365	2942
927	37403	2902
928	37434	2860
929	37464	2819
930	37502	2779
931	37532	2738
932	37570	2697
933	37600	2657
934	37630	2616
935	37661	2575
936	37698	2534
937	37745	2494
938	37784	2454
939	37814	2413
940	37855	2373
941	37893	2333
942	37924	2292
943	37964	2252
944	37995	2211
945	38043	2171
946	38074	2130
947	38121	2091
948	38169	2051
949	38215	2011
950	38264	1971
951	38295	1930
952	38344	1891
953	38381	1850
954	38418	1810
955	38455	1769
956	38487	1729
957	38516	1688
958	38547	1648
959	38578	1607
960	38617	1567
961	38654	1526
962	38685	1486
963	38715	1445
964	38745	1405
965	38777	1364
966	38808	1324
967	38838	1283
968	38875	1243
969	38905	1203
970	38952	1163
971	38982	1122
972	39030	1083
973	39057	1042
974	39088	1002
975	39136	962
976	39174	922
977	39204	881
978	39253	841
979	39282	801
980	39331	761
981	39369	721
982	39399	681
983	39437	641
984	39469	601
985	39496	560
986	39548	520
987	39598	480
988	39640	440
989	39688	400
990	39727	360
991	39759	320
992	39786	280
993	39835	240
994	39873	200
995	39904	160
996	39942	120
997	39979	80
998	40010	40
999	40057	0
