iter	AUC	Logloss
512	0.9303739667	0.2742961769
513	0.9303739369	0.274295877
514	0.9303780794	0.2742857549
515	0.9303793013	0.274280094
516	0.9303793609	0.2742797753
517	0.9303810894	0.2742768886
518	0.9303912222	0.2742607869
519	0.9303929806	0.2742553697
520	0.9304046333	0.27423222
521	0.930424124	0.2742032594
522	0.9304288924	0.2741959489
523	0.9304410517	0.2741726305
524	0.9304418862	0.2741717307
525	0.930442363	0.274170756
526	0.9304455817	0.2741640641
527	0.9304458797	0.2741624708
528	0.9304555953	0.2741471189
529	0.9304630756	0.2741334353
530	0.9304743707	0.2741156465
531	0.9304786026	0.2741076988
532	0.9304786623	0.2741074551
533	0.9304884076	0.274084624
534	0.9304905236	0.274082206
535	0.9305015504	0.2740580065
536	0.9305161536	0.2740395992
537	0.9305193126	0.2740330948
538	0.9305202365	0.2740318201
539	0.9305261672	0.2740193549
540	0.9305386245	0.274002091
541	0.9305454195	0.273989757
542	0.9305651486	0.2739504118
543	0.9305671155	0.2739467004
544	0.930567652	0.2739439449
545	0.9305685759	0.2739406646
546	0.9305693805	0.2739379091
547	0.9305694401	0.2739378341
548	0.9305713773	0.2739349099
549	0.9305779338	0.2739276182
550	0.9305820465	0.2739179647
551	0.9305821955	0.2739178522
552	0.9305835664	0.2739074677
553	0.9305835664	0.2739074677
554	0.9306203723	0.2738456663
555	0.9306249917	0.273827259
556	0.9306254685	0.2738266217
557	0.9306335151	0.273808458
558	0.9306378067	0.2738039593
559	0.9306438267	0.2737919814
560	0.9306530952	0.2737716621
561	0.9306546748	0.2737695627
562	0.9306590855	0.2737604153
563	0.9306603074	0.2737545482
564	0.9306735992	0.2737313797
565	0.9306778014	0.2737263374
566	0.9306794703	0.2737244442
567	0.9306902587	0.2737047435
568	0.9307046235	0.2736863362
569	0.930706352	0.2736835057
570	0.9307123721	0.2736732336
571	0.930714488	0.2736707406
572	0.9307226837	0.273652427
573	0.9307293892	0.2736450228
574	0.9307323694	0.2736394931
575	0.9307347238	0.273598967
576	0.9307353199	0.2735982922
577	0.9307552874	0.2735633521
578	0.9307637811	0.2735485437
579	0.9307698607	0.2735365846
580	0.9307709932	0.2735307362
581	0.9308086038	0.2734699846
582	0.9308089912	0.2734683163
583	0.9308095574	0.2734671729
584	0.9308128357	0.2734628054
585	0.9308197796	0.2734538267
586	0.9308249652	0.2734419987
587	0.9308249652	0.2734413802
588	0.9308253825	0.2734404242
589	0.9308305085	0.2734304707
590	0.9308297932	0.2734302083
591	0.9308338165	0.2734188303
592	0.9308370948	0.2734020537
593	0.93084535	0.2733854647
594	0.9308692515	0.2733530738
595	0.9308695793	0.2733520616
596	0.9308762848	0.2733353788
597	0.9308870435	0.2733133912
598	0.9308894873	0.273310617
599	0.9309057593	0.2732777012
600	0.9309132397	0.2732643925
601	0.9309156537	0.2732623493
602	0.9309183955	0.2732603436
603	0.9309204221	0.2732594251
604	0.9309290946	0.2732435671
605	0.9309316874	0.2732366128
606	0.9309330285	0.2732341385
607	0.9309361279	0.2732312706
608	0.9309358895	0.2732303708
609	0.9309394062	0.2732274279
610	0.9309391677	0.2732257409
611	0.9309603572	0.2731968178
612	0.9309675992	0.2731919441
613	0.9309698045	0.2731886076
614	0.9309875965	0.273158841
615	0.9309878349	0.2731545297
616	0.9309903681	0.2731509307
617	0.9309903681	0.273150762
618	0.9309931993	0.2731273873
619	0.9309948981	0.2731112481
620	0.9310024083	0.2730998138
621	0.9310041368	0.273097602
622	0.9310062826	0.2730963836
623	0.9310084581	0.2730934406
624	0.9310184419	0.2730738899
625	0.931019485	0.2730717717
626	0.9310264885	0.2730591565
627	0.9310311377	0.2730510401
628	0.9310325384	0.2730313581
629	0.9310407639	0.2730258472
630	0.9310425818	0.2730231854
631	0.9310419261	0.2730223419
632	0.9310439527	0.2730213859
633	0.9310476482	0.2730180306
634	0.9310586452	0.2730024725
635	0.9310588241	0.273001629
636	0.9310631156	0.2729914506
637	0.9310645163	0.272989951
638	0.9310652912	0.2729893325
639	0.9310683906	0.272974243
640	0.9310739934	0.2729651705
641	0.9310749769	0.2729638396
642	0.9310769439	0.2729571665
643	0.9310784638	0.2729527428
