iter	Passed	Remaining
885	13186	1696
886	13198	1681
887	13213	1666
888	13227	1651
889	13240	1636
890	13255	1621
891	13268	1606
892	13280	1591
893	13295	1576
894	13308	1561
895	13323	1546
896	13335	1531
897	13350	1516
898	13364	1501
899	13378	1486
900	13393	1471
901	13409	1456
902	13423	1442
903	13439	1427
904	13453	1412
905	13465	1397
906	13482	1382
907	13495	1367
908	13509	1352
909	13524	1337
910	13539	1322
911	13554	1307
912	13570	1293
913	13584	1278
914	13597	1263
915	13615	1248
916	13628	1233
917	13643	1218
918	13657	1203
919	13673	1188
920	13687	1174
921	13702	1159
922	13715	1144
923	13729	1129
924	13743	1114
925	13758	1099
926	13772	1084
927	13786	1069
928	13799	1054
929	13813	1039
930	13828	1024
931	13842	1009
932	13856	995
933	13871	980
934	13884	965
935	13897	950
936	13913	935
937	13928	920
938	13943	905
939	13957	890
940	13973	876
941	13987	861
942	14001	846
943	14016	831
944	14030	816
945	14043	801
946	14056	786
947	14069	771
948	14082	756
949	14099	742
950	14111	727
951	14125	712
952	14141	697
953	14154	682
954	14169	667
955	14182	652
956	14195	637
957	14211	623
958	14225	608
959	14240	593
960	14257	578
961	14271	563
962	14285	548
963	14300	534
964	14316	519
965	14346	504
966	14362	490
967	14377	475
968	14392	460
969	14407	445
970	14422	430
971	14440	415
972	14457	401
973	14472	386
974	14484	371
975	14499	356
976	14512	341
977	14526	326
978	14540	311
979	14557	297
980	14571	282
981	14584	267
982	14599	252
983	14612	237
984	14627	222
985	14640	207
986	14654	193
987	14668	178
988	14682	163
989	14695	148
990	14711	133
991	14724	118
992	14740	103
993	14755	89
994	14770	74
995	14786	59
996	14797	44
997	14811	29
998	14826	14
999	14840	0
